,NC,NN,MC,MN,V,D1C,D1N,D2C,D2N,D3C,D3N,D4C,D4N
54,3,Unidade da Federação,23,Mil dúzias,1820,11,Rondônia,201902,2º trimestre 2019,9588,Quantidade de ovos produzidos para consumo,115236,Total do trimestre
55,3,Unidade da Federação,24,Cabeças,516731,11,Rondônia,201903,3º trimestre 2019,1988,Número de cabeças de galinhas poedeiras nos estabelecimentos agropecuários,115236,Total do trimestre
56,3,Unidade da Federação,23,Mil dúzias,2636,11,Rondônia,201903,3º trimestre 2019,29,Quantidade de ovos produzidos,115236,Total do trimestre
57,3,Unidade da Federação,23,Mil dúzias,2636,11,Rondônia,201903,3º trimestre 2019,9588,Quantidade de ovos produzidos para consumo,115236,Total do trimestre
58,3,Unidade da Federação,24,Cabeças,520223,11,Rondônia,201904,4º trimestre 2019,1988,Número de cabeças de galinhas poedeiras nos estabelecimentos agropecuários,115236,Total do trimestre
59,3,Unidade da Federação,23,Mil dúzias,2833,11,Rondônia,201904,4º trimestre 2019,29,Quantidade de ovos produzidos,115236,Total do trimestre
60,3,Unidade da Federação,23,Mil dúzias,2833,11,Rondônia,201904,4º trimestre 2019,9588,Quantidade de ovos produzidos para consumo,115236,Total do trimestre
61,3,Unidade da Federação,24,Cabeças,555901,11,Rondônia,202001,1º trimestre 2020,1988,Número de cabeças de galinhas poedeiras nos estabelecimentos agropecuários,115236,Total do trimestre
62,3,Unidade da Federação,23,Mil dúzias,2939,11,Rondônia,202001,1º trimestre 2020,29,Quantidade de ovos produzidos,115236,Total do trimestre
63,3,Unidade da Federação,23,Mil dúzias,2939,11,Rondônia,202001,1º trimestre 2020,9588,Quantidade de ovos produzidos para consumo,115236,Total do trimestre
64,3,Unidade da Federação,24,Cabeças,593254,11,Rondônia,202002,2º trimestre 2020,1988,Número de cabeças de galinhas poedeiras nos estabelecimentos agropecuários,115236,Total do trimestre
65,3,Unidade da Federação,23,Mil dúzias,3022,11,Rondônia,202002,2º trimestre 2020,29,Quantidade de ovos produzidos,115236,Total do trimestre
66,3,Unidade da Federação,23,Mil dúzias,3022,11,Rondônia,202002,2º trimestre 2020,9588,Quantidade de ovos produzidos para consumo,115236,Total do trimestre
67,3,Unidade da Federação,24,Cabeças,562125,11,Rondônia,202003,3º trimestre 2020,1988,Número de cabeças de galinhas poedeiras nos estabelecimentos agropecuários,115236,Total do trimestre
68,3,Unidade da Federação,23,Mil dúzias,2937,11,Rondônia,202003,3º trimestre 2020,29,Quantidade de ovos produzidos,115236,Total do trimestre
69,3,Unidade da Federação,23,Mil dúzias,2937,11,Rondônia,202003,3º trimestre 2020,9588,Quantidade de ovos produzidos para consumo,115236,Total do trimestre
70,3,Unidade da Federação,24,Cabeças,539937,11,Rondônia,202004,4º trimestre 2020,1988,Número de cabeças de galinhas poedeiras nos estabelecimentos agropecuários,115236,Total do trimestre
71,3,Unidade da Federação,23,Mil dúzias,2778,11,Rondônia,202004,4º trimestre 2020,29,Quantidade de ovos produzidos,115236,Total do trimestre
72,3,Unidade da Federação,23,Mil dúzias,2778,11,Rondônia,202004,4º trimestre 2020,9588,Quantidade de ovos produzidos para consumo,115236,Total do trimestre
73,3,Unidade da Federação,24,Cabeças,621748,11,Rondônia,202101,1º trimestre 2021,1988,Número de cabeças de galinhas poedeiras nos estabelecimentos agropecuários,115236,Total do trimestre
74,3,Unidade da Federação,23,Mil dúzias,3284,11,Rondônia,202101,1º trimestre 2021,29,Quantidade de ovos produzidos,115236,Total do trimestre
75,3,Unidade da Federação,23,Mil dúzias,3284,11,Rondônia,202101,1º trimestre 2021,9588,Quantidade de ovos produzidos para consumo,115236,Total do trimestre
76,3,Unidade da Federação,24,Cabeças,108995,12,Acre,201501,1º trimestre 2015,1988,Número de cabeças de galinhas poedeiras nos estabelecimentos agropecuários,115236,Total do trimestre
77,3,Unidade da Federação,23,Mil dúzias,646,12,Acre,201501,1º trimestre 2015,29,Quantidade de ovos produzidos,115236,Total do trimestre
78,3,Unidade da Federação,,,...,12,Acre,201501,1º trimestre 2015,9588,Quantidade de ovos produzidos para consumo,115236,Total do trimestre
79,3,Unidade da Federação,24,Cabeças,123307,12,Acre,201502,2º trimestre 2015,1988,Número de cabeças de galinhas poedeiras nos estabelecimentos agropecuários,115236,Total do trimestre
80,3,Unidade da Federação,23,Mil dúzias,821,12,Acre,201502,2º trimestre 2015,29,Quantidade de ovos produzidos,115236,Total do trimestre
81,3,Unidade da Federação,,,...,12,Acre,201502,2º trimestre 2015,9588,Quantidade de ovos produzidos para consumo,115236,Total do trimestre
82,3,Unidade da Federação,24,Cabeças,126465,12,Acre,201503,3º trimestre 2015,1988,Número de cabeças de galinhas poedeiras nos estabelecimentos agropecuários,115236,Total do trimestre
83,3,Unidade da Federação,23,Mil dúzias,781,12,Acre,201503,3º trimestre 2015,29,Quantidade de ovos produzidos,115236,Total do trimestre
84,3,Unidade da Federação,,,...,12,Acre,201503,3º trimestre 2015,9588,Quantidade de ovos produzidos para consumo,115236,Total do trimestre
85,3,Unidade da Federação,24,Cabeças,130619,12,Acre,201504,4º trimestre 2015,1988,Número de cabeças de galinhas poedeiras nos estabelecimentos agropecuários,115236,Total do trimestre
86,3,Unidade da Federação,23,Mil dúzias,726,12,Acre,201504,4º trimestre 2015,29,Quantidade de ovos produzidos,115236,Total do trimestre
87,3,Unidade da Federação,,,...,12,Acre,201504,4º trimestre 2015,9588,Quantidade de ovos produzidos para consumo,115236,Total do trimestre
88,3,Unidade da Federação,24,Cabeças,117136,12,Acre,201601,1º trimestre 2016,1988,Número de cabeças de galinhas poedeiras nos estabelecimentos agropecuários,115236,Total do trimestre
89,3,Unidade da Federação,23,Mil dúzias,683,12,Acre,201601,1º trimestre 2016,29,Quantidade de ovos produzidos,115236,Total do trimestre
90,3,Unidade da Federação,,,...,12,Acre,201601,1º trimestre 2016,9588,Quantidade de ovos produzidos para consumo,115236,Total do trimestre
91,3,Unidade da Federação,24,Cabeças,124074,12,Acre,201602,2º trimestre 2016,1988,Número de cabeças de galinhas poedeiras nos estabelecimentos agropecuários,115236,Total do trimestre
92,3,Unidade da Federação,23,Mil dúzias,801,12,Acre,201602,2º trimestre 2016,29,Quantidade de ovos produzidos,115236,Total do trimestre
93,3,Unidade da Federação,,,...,12,Acre,201602,2º trimestre 2016,9588,Quantidade de ovos produzidos para consumo,115236,Total do trimestre
94,3,Unidade da Federação,24,Cabeças,142964,12,Acre,201603,3º trimestre 2016,1988,Número de cabeças de galinhas poedeiras nos estabelecimentos agropecuários,115236,Total do trimestre
95,3,Unidade da Federação,23,Mil dúzias,811,12,Acre,201603,3º trimestre 2016,29,Quantidade de ovos produzidos,115236,Total do trimestre
96,3,Unidade da Federação,,,...,12,Acre,201603,3º trimestre 2016,9588,Quantidade de ovos produzidos para consumo,115236,Total do trimestre
97,3,Unidade da Federação,24,Cabeças,113575,12,Acre,201604,4º trimestre 2016,1988,Número de cabeças de galinhas poedeiras nos estabelecimentos agropecuários,115236,Total do trimestre
98,3,Unidade da Federação,23,Mil dúzias,644,12,Acre,201604,4º trimestre 2016,29,Quantidade de ovos produzidos,115236,Total do trimestre
99,3,Unidade da Federação,,,...,12,Acre,201604,4º trimestre 2016,9588,Quantidade de ovos produzidos para consumo,115236,Total do trimestre
100,3,Unidade da Federação,24,Cabeças,120260,12,Acre,201701,1º trimestre 2017,1988,Número de cabeças de galinhas poedeiras nos estabelecimentos agropecuários,115236,Total do trimestre
101,3,Unidade da Federação,23,Mil dúzias,723,12,Acre,201701,1º trimestre 2017,29,Quantidade de ovos produzidos,115236,Total do trimestre
102,3,Unidade da Federação,,,...,12,Acre,201701,1º trimestre 2017,9588,Quantidade de ovos produzidos para consumo,115236,Total do trimestre
103,3,Unidade da Federação,24,Cabeças,127502,12,Acre,201702,2º trimestre 2017,1988,Número de cabeças de galinhas poedeiras nos estabelecimentos agropecuários,115236,Total do trimestre
104,3,Unidade da Federação,23,Mil dúzias,770,12,Acre,201702,2º trimestre 2017,29,Quantidade de ovos produzidos,115236,Total do trimestre
105,3,Unidade da Federação,,,...,12,Acre,201702,2º trimestre 2017,9588,Quantidade de ovos produzidos para consumo,115236,Total do trimestre
106,3,Unidade da Federação,24,Cabeças,168362,12,Acre,201703,3º trimestre 2017,1988,Número de cabeças de galinhas poedeiras nos estabelecimentos agropecuários,115236,Total do trimestre
107,3,Unidade da Federação,23,Mil dúzias,1012,12,Acre,201703,3º trimestre 2017,29,Quantidade de ovos produzidos,115236,Total do trimestre
108,3,Unidade da Federação,,,...,12,Acre,201703,3º trimestre 2017,9588,Quantidade de ovos produzidos para consumo,115236,Total do trimestre
109,3,Unidade da Federação,24,Cabeças,173851,12,Acre,201704,4º trimestre 2017,1988,Número de cabeças de galinhas poedeiras nos estabelecimentos agropecuários,115236,Total do trimestre
110,3,Unidade da Federação,23,Mil dúzias,1044,12,Acre,201704,4º trimestre 2017,29,Quantidade de ovos produzidos,115236,Total do trimestre
111,3,Unidade da Federação,,,...,12,Acre,201704,4º trimestre 2017,9588,Quantidade de ovos produzidos para consumo,115236,Total do trimestre
112,3,Unidade da Federação,24,Cabeças,209970,12,Acre,201801,1º trimestre 2018,1988,Número de cabeças de galinhas poedeiras nos estabelecimentos agropecuários,115236,Total do trimestre
113,3,Unidade da Federação,23,Mil dúzias,1270,12,Acre,201801,1º trimestre 2018,29,Quantidade de ovos produzidos,115236,Total do trimestre
114,3,Unidade da Federação,23,Mil dúzias,1270,12,Acre,201801,1º trimestre 2018,9588,Quantidade de ovos produzidos para consumo,115236,Total do trimestre
115,3,Unidade da Federação,24,Cabeças,207699,12,Acre,201802,2º trimestre 2018,1988,Número de cabeças de galinhas poedeiras nos estabelecimentos agropecuários,115236,Total do trimestre
